genus,bodysite,family_score,Phylum,dmi,bootstrap_mean,bootstrap_sd,trimmed
Streptococcus,Oral,0.54,Firmicutes,0.08,0.081241361,0.00181343,no
Tannerella,Oral,0.2,Bacteroidetes,0.26,0.25486332,0.003781152,no
Unclassified_Bacteria,Oral,0.2,Other,0.17,0.168001737,0.002723394,no
Unclassified_Bacteroidales,Oral,0.42,Bacteroidetes,0.14,0.14037577,0.002898705,no
Unclassified_Bacteroidetes,Oral,1,Bacteroidetes,0.16,0.156988102,0.0024976,no
Unclassified_Burkholderiales,Oral,1,Proteobacteria,0.11,0.10548089,0.007064957,yes
Unclassified_Clostridia,Oral,0.56,Firmicutes,0.11,0.112988913,0.002884761,no
Unclassified_Flavobacteriales,Oral,1,Bacteroidetes,0.19,0.196013887,0.004331762,no
Unclassified_Lachnospiraceae,Oral,0.33,Firmicutes,0.2,0.199734462,0.002215137,no
Unclassified_Neisseriaceae,Oral,0.58,Proteobacteria,0.19,0.195125173,0.003641767,no
Unclassified_Pasteurellaceae,Oral,0.86,Proteobacteria,0.13,0.132652628,0.004264339,no
Unclassified_Prevotellaceae,Oral,1,Bacteroidetes,0.25,0.259084886,0.004918544,no
Unclassified_Streptophyta,Oral,1,Other,0.03,0.061214055,0.028023843,yes
Unclassified_Weeksellaceae,Oral,0.01,Bacteroidetes,0.18,0.180882941,0.001797121,no
Veillonella,Oral,0.38,Firmicutes,0.19,0.187513775,0.002154622,no
Actinomyces,Nasal,0.34,Actinobacteria,0.1,0.103080739,0.00464396,no
Alloprevotella,Nasal,1,Bacteroidetes,0.05,0.025340754,0.018959324,yes
Anaerococcus,Nasal,0.64,Firmicutes,0.25,0.250418653,0.002499133,no
Bacteroides,Nasal,0.95,Bacteroidetes,0.07,0.080521529,0.005367197,no
Campylobacter,Nasal,1,Other,0.24,0.239932521,0.004345136,no
Corynebacterium,Nasal,1,Actinobacteria,0.27,0.26820267,0.002194693,no
Dermabacter,Nasal,1,Actinobacteria,0.2,0.195108195,0.00826619,no
Dolosigranulum,Nasal,0.23,Firmicutes,0.22,0.21697846,0.003050152,no
Escherichia/Shigella,Nasal,1,Proteobacteria,0.07,0.069570644,0.005135614,yes
Finegoldia,Nasal,0.53,Firmicutes,0.26,0.263770561,0.002400145,no
Gemella,Nasal,0.73,Firmicutes,0.05,0.053939132,0.004326872,yes
Haemophilus,Nasal,0.48,Proteobacteria,0.04,0.038510731,0.006438364,yes
Lachnospira,Nasal,0.72,Firmicutes,0.11,0.115724573,0.010994256,yes
Lautropia,Nasal,1,Proteobacteria,0.14,0.144831293,0.008512081,no
Moraxella,Nasal,1,Proteobacteria,0.23,0.230492277,0.007562208,no
Negativicoccus,Nasal,0.09,Firmicutes,0.39,0.406385492,0.009115609,no
Neisseria,Nasal,1,Proteobacteria,0.12,0.121875592,0.003731508,no
Peptoniphilus,Nasal,0.05,Firmicutes,0.2,0.193764489,0.002512733,no
Phocaeicola,Nasal,1,Bacteroidetes,0.09,0.082380032,0.007048262,yes
Porphyromonas,Nasal,0.32,Bacteroidetes,0.06,0.052339638,0.003469741,no
Prevotella,Nasal,0.26,Bacteroidetes,0.09,0.087143199,0.003001915,no
Pseudomonas,Nasal,1,Proteobacteria,0.04,0.035727119,0.004481339,yes
Rothia,Nasal,0.19,Actinobacteria,0.08,0.079157624,0.002681795,no
Sphingobium,Nasal,1,Proteobacteria,0.05,0.018452724,0.011681163,yes
Staphylococcus,Nasal,0.82,Firmicutes,0.19,0.195900943,0.002212928,no
Streptococcus,Nasal,0.21,Firmicutes,0.06,0.065012029,0.00156454,no
Subdoligranulum,Nasal,1,Firmicutes,0.08,0.073124971,0.007962493,yes
Unclassified_Bacteria,Nasal,1,Other,0.06,0.053586872,0.009969443,yes
Unclassified_Betaproteobacteria,Nasal,1,Proteobacteria,0.46,0.460162238,0.005318098,no
Unclassified_Candidatus_Saccharibacteria,Nasal,0.12,Other,0.06,0.066565384,0.004484409,yes
Unclassified_Clostridiales,Nasal,1,Firmicutes,0.02,0.014477384,0.005122835,yes
Unclassified_Neisseriales,Nasal,0.23,Proteobacteria,0.32,0.314126943,0.003058215,no
Unclassified_Streptophyta,Nasal,0.37,Other,0.04,0.044426157,0.002133018,no
