"","KitID","SampleID","Date","Barcodes","SampleType"
"2572","UBMkid989105717","69-011-02","9/26/14","NA0008332647","Mouth"
"2573","UBMkid989819336","69-001-7077","4/20/18","NA0014733379","Skin"
"2574","UBMkid989819846","69-109-7022","10/7/16","NA0014733381","Skin"
"2575","UBMkid990104951","69-110-02","11/19/15","NA0008343191","Mouth"
"2576","UBMkid990107471","69-012-10","10/6/15","NA0008329130","Mouth"
"2577","UBMkid990128873","69-053-6022","2/23/16","NA0008898280","Skin"
"2578","UBMkid990129059","sw2_p","4/3/17","NA0011470429","Skin"
"2579","UBMkid991129217","69-045-10","11/17/16","NA0008948930","Skin"
"2580","UBMkid992105033","69-063-6036","4/20/15","NA0008343183","Mouth"
"2581","UBMkid992128074","69-043-2022","9/29/15","NA0008899187","Skin"
"2582","UBMkid992129229","69-033-08","6/16/16","NA0008948932","Skin"
"2583","UBMkid993104680","69-111-6013","10/5/15","NA0009404783","Mouth"
"2584","UBMkid993105328","70-1006-14","5/9/16","NA0008933582","Mouth"
"2585","UBMkid995104710","69-012-04","6/17/13","NA0009404830","Mouth"
"2586","UBMkid995105222","69-077-06","4/8/16","NA0008943447","Mouth"
"2587","UBMkid995105381","69-036-11","5/24/16","NA0008933429","Mouth"
"2588","UBMkid995105751","69-051-03","1/16/15","NA0008333204","Mouth"
"2589","UBMkid997128118","69-056-05","11/4/15","NA0008899156","Skin"
"2590","UBMkid997128900","70-1012-12","4/12/16","NA0011470413","Skin"
